history_id,project_id,project_name,team_size,tools_used,completion_days,success_score
HIS0128,PRJ0200,AI Sales Assistant,3,PostgreSQL;FastAPI;Redis;TensorFlow,59,0.96
HIS0129,PRJ0174,Healthcare Diagnosis AI,6,Redis;Python,38,0.8
HIS0130,PRJ0128,Document Summarization AI,3,Redis;FastAPI;LangChain,17,0.77
HIS0131,PRJ0169,Fraud Detection System,4,Python;LangChain,34,0.82
HIS0132,PRJ0065,Customer Support Chatbot,4,FastAPI;TensorFlow,50,0.83
HIS0133,PRJ0139,Customer Support Chatbot,6,Redis;Python;PostgreSQL;LangChain,29,0.93
HIS0134,PRJ0123,Autonomous AI Research Agent,6,Python;FastAPI,19,0.77
HIS0135,PRJ0062,Autonomous AI Research Agent,3,PostgreSQL;Redis,17,0.82
HIS0136,PRJ0175,Fraud Detection System,8,Python;LangChain,24,0.85
HIS0137,PRJ0122,AI Sales Assistant,8,PostgreSQL;Python;LangChain,39,0.9
HIS0138,PRJ0102,Autonomous AI Research Agent,4,FastAPI;Python;TensorFlow,35,0.87
HIS0139,PRJ0136,AI Sales Assistant,5,FastAPI;PostgreSQL;Redis,52,0.78
HIS0140,PRJ0115,AI Sales Assistant,4,LangChain;FastAPI;PostgreSQL;Python,48,0.9
HIS0141,PRJ0141,Healthcare Diagnosis AI,8,FastAPI;Python;Redis,28,0.88
HIS0142,PRJ0053,Fraud Detection System,5,Redis;FastAPI,49,0.8
HIS0143,PRJ0155,Document Summarization AI,3,TensorFlow;FastAPI;LangChain;Redis,18,0.75
HIS0144,PRJ0048,Fraud Detection System,7,TensorFlow;FastAPI;Redis;PostgreSQL,56,0.83
HIS0145,PRJ0193,Document Summarization AI,4,Python;Redis,32,0.81
HIS0146,PRJ0193,AI Sales Assistant,3,TensorFlow;FastAPI,31,0.97
HIS0147,PRJ0029,Document Summarization AI,4,PostgreSQL;Python,41,0.88
HIS0148,PRJ0116,Document Summarization AI,5,LangChain;TensorFlow,49,0.82
HIS0149,PRJ0049,Document Summarization AI,3,TensorFlow;LangChain,54,0.83
HIS0150,PRJ0177,Autonomous AI Research Agent,8,Python;FastAPI,17,0.93
HIS0151,PRJ0094,Healthcare Diagnosis AI,7,FastAPI;PostgreSQL,19,0.92
HIS0152,PRJ0005,Healthcare Diagnosis AI,5,TensorFlow;Python,19,0.93
HIS0153,PRJ0100,Fraud Detection System,7,Redis;Python;FastAPI,36,0.87
HIS0154,PRJ0087,Autonomous AI Research Agent,3,Python;FastAPI,41,0.76
HIS0155,PRJ0109,Fraud Detection System,8,FastAPI;PostgreSQL;Python;Redis,46,0.84
HIS0156,PRJ0078,Customer Support Chatbot,8,PostgreSQL;Python;LangChain;TensorFlow,18,0.96
HIS0157,PRJ0027,Document Summarization AI,4,LangChain;PostgreSQL;FastAPI;TensorFlow,49,0.75
HIS0158,PRJ0135,Healthcare Diagnosis AI,6,Redis;PostgreSQL;TensorFlow;FastAPI,30,0.81
HIS0159,PRJ0032,Document Summarization AI,6,Redis;FastAPI,53,0.93
HIS0160,PRJ0022,Healthcare Diagnosis AI,6,TensorFlow;LangChain,25,0.81
HIS0161,PRJ0094,Autonomous AI Research Agent,4,Python;FastAPI,44,0.9
HIS0162,PRJ0086,AI Sales Assistant,6,TensorFlow;FastAPI;PostgreSQL,18,0.9
HIS0163,PRJ0082,Fraud Detection System,6,PostgreSQL;FastAPI,38,0.78
HIS0164,PRJ0029,Healthcare Diagnosis AI,5,FastAPI;PostgreSQL;Python;TensorFlow,51,0.92
HIS0165,PRJ0059,Customer Support Chatbot,6,Python;Redis,42,0.81
HIS0166,PRJ0045,Healthcare Diagnosis AI,5,LangChain;FastAPI;PostgreSQL;TensorFlow,25,0.84
HIS0167,PRJ0107,Smart Inventory Prediction,4,Python;Redis,55,0.94
HIS0168,PRJ0122,Fraud Detection System,5,TensorFlow;LangChain;FastAPI,23,0.97
HIS0169,PRJ0133,Fraud Detection System,8,PostgreSQL;LangChain;Python,35,0.76
HIS0170,PRJ0075,Autonomous AI Research Agent,8,FastAPI;LangChain;PostgreSQL;Redis,20,0.85
HIS0171,PRJ0062,Fraud Detection System,8,Redis;LangChain,22,0.78
HIS0172,PRJ0182,Fraud Detection System,6,Python;Redis;PostgreSQL;LangChain,22,0.87
HIS0173,PRJ0120,Document Summarization AI,7,Redis;TensorFlow;Python;FastAPI,56,0.76
HIS0174,PRJ0157,Customer Support Chatbot,4,LangChain;FastAPI;Redis,19,0.81
HIS0175,PRJ0179,Customer Support Chatbot,4,Python;PostgreSQL,51,0.77
HIS0176,PRJ0038,Fraud Detection System,6,PostgreSQL;Redis;TensorFlow,22,0.79
HIS0177,PRJ0147,Smart Inventory Prediction,7,TensorFlow;LangChain,15,0.9
HIS0178,PRJ0098,Autonomous AI Research Agent,6,Redis;FastAPI;LangChain,34,0.98
HIS0179,PRJ0125,Fraud Detection System,7,Python;FastAPI,39,0.76
HIS0180,PRJ0076,Document Summarization AI,8,TensorFlow;Redis;Python;LangChain,39,0.86
HIS0181,PRJ0069,Customer Support Chatbot,8,TensorFlow;Python,38,0.82
HIS0182,PRJ0011,Healthcare Diagnosis AI,4,Python;LangChain;FastAPI,27,0.89
HIS0183,PRJ0116,Fraud Detection System,4,PostgreSQL;LangChain,23,0.75
HIS0184,PRJ0094,Fraud Detection System,4,Python;PostgreSQL;TensorFlow,26,0.83
HIS0185,PRJ0099,Document Summarization AI,4,LangChain;FastAPI,23,0.85
HIS0186,PRJ0029,Smart Inventory Prediction,8,PostgreSQL;Redis;LangChain;FastAPI,56,0.87
HIS0187,PRJ0166,Smart Inventory Prediction,8,PostgreSQL;Redis,32,0.94
HIS0188,PRJ0137,Customer Support Chatbot,7,LangChain;Python,27,0.85
HIS0189,PRJ0114,Document Summarization AI,5,Redis;TensorFlow;Python;LangChain,59,0.97
HIS0190,PRJ0154,Fraud Detection System,8,TensorFlow;Python;Redis;LangChain,35,0.9
HIS0191,PRJ0013,Healthcare Diagnosis AI,5,PostgreSQL;Python;Redis;LangChain,53,0.83
HIS0192,PRJ0015,Customer Support Chatbot,8,TensorFlow;Redis;PostgreSQL,18,0.89
HIS0193,PRJ0072,Smart Inventory Prediction,4,Redis;LangChain,36,0.94
HIS0194,PRJ0111,Document Summarization AI,3,PostgreSQL;Python;Redis;FastAPI,24,0.9
HIS0195,PRJ0169,AI Sales Assistant,5,LangChain;Python,23,0.86
HIS0196,PRJ0025,Autonomous AI Research Agent,8,FastAPI;Python,15,0.93
HIS0197,PRJ0025,Customer Support Chatbot,3,PostgreSQL;TensorFlow;FastAPI,22,0.85
HIS0198,PRJ0169,Document Summarization AI,6,TensorFlow;LangChain,42,0.86
HIS0199,PRJ0087,Smart Inventory Prediction,6,Redis;FastAPI;Python;PostgreSQL,20,0.92
HIS0200,PRJ0036,Document Summarization AI,5,FastAPI;Redis,26,0.93
HIS0201,PRJ0021,Fraud Detection System,6,Python;TensorFlow;PostgreSQL,26,0.78
HIS0202,PRJ0119,Document Summarization AI,5,LangChain;FastAPI;PostgreSQL,40,0.82
HIS0203,PRJ0013,Smart Inventory Prediction,8,TensorFlow;Redis;LangChain;Python,29,0.77
HIS0204,PRJ0001,Fraud Detection System,4,Python;LangChain;FastAPI,27,0.96
HIS0205,PRJ0163,Smart Inventory Prediction,4,FastAPI;Redis;Python,30,0.87
HIS0206,PRJ0085,Fraud Detection System,3,Redis;FastAPI;PostgreSQL;Python,58,0.84
HIS0207,PRJ0003,Healthcare Diagnosis AI,7,TensorFlow;FastAPI;LangChain,57,0.97
HIS0208,PRJ0013,Smart Inventory Prediction,8,Python;LangChain,27,0.88
HIS0209,PRJ0155,Customer Support Chatbot,6,PostgreSQL;TensorFlow;Redis;LangChain,27,0.91
HIS0210,PRJ0062,Document Summarization AI,5,PostgreSQL;Python;FastAPI,47,0.96
HIS0211,PRJ0106,Customer Support Chatbot,7,PostgreSQL;TensorFlow;Redis;Python,52,0.83
HIS0212,PRJ0022,Healthcare Diagnosis AI,8,Redis;Python;PostgreSQL;LangChain,45,0.88
HIS0213,PRJ0144,Healthcare Diagnosis AI,5,FastAPI;TensorFlow;Redis;Python,20,0.94
HIS0214,PRJ0193,Document Summarization AI,4,Redis;FastAPI;Python;PostgreSQL,48,0.85
HIS0215,PRJ0094,Autonomous AI Research Agent,3,Python;TensorFlow,50,0.83
HIS0216,PRJ0060,Smart Inventory Prediction,3,TensorFlow;Python;FastAPI,59,0.79
HIS0217,PRJ0066,Fraud Detection System,3,FastAPI;LangChain,28,0.81
HIS0218,PRJ0057,Autonomous AI Research Agent,6,Python;LangChain;FastAPI,29,0.95
HIS0219,PRJ0151,AI Sales Assistant,5,FastAPI;Python,48,0.98
HIS0220,PRJ0185,Smart Inventory Prediction,7,Redis;TensorFlow;PostgreSQL;Python,30,0.87
HIS0221,PRJ0158,Fraud Detection System,6,Redis;LangChain,16,0.77
HIS0222,PRJ0121,Fraud Detection System,7,Python;PostgreSQL;FastAPI,26,0.91
HIS0223,PRJ0115,Healthcare Diagnosis AI,7,TensorFlow;PostgreSQL;FastAPI;Redis,20,0.88
HIS0224,PRJ0015,Document Summarization AI,6,FastAPI;LangChain,33,0.85
HIS0225,PRJ0132,Autonomous AI Research Agent,8,Redis;FastAPI;LangChain,50,0.82
HIS0226,PRJ0164,Fraud Detection System,3,Redis;LangChain;TensorFlow,15,0.88
HIS0227,PRJ0145,Autonomous AI Research Agent,3,Python;Redis;LangChain;FastAPI,18,0.79
HIS0228,PRJ0195,Customer Support Chatbot,7,FastAPI;PostgreSQL;TensorFlow,47,0.78
HIS0229,PRJ0049,Customer Support Chatbot,6,LangChain;TensorFlow,47,0.86
HIS0230,PRJ0178,Document Summarization AI,8,PostgreSQL;LangChain,49,0.9
HIS0231,PRJ0164,Autonomous AI Research Agent,7,LangChain;Python;TensorFlow;FastAPI,50,0.75
HIS0232,PRJ0173,Autonomous AI Research Agent,7,TensorFlow;Redis;PostgreSQL,19,0.78
HIS0233,PRJ0120,Healthcare Diagnosis AI,3,TensorFlow;PostgreSQL;Python,26,0.91
HIS0234,PRJ0098,Smart Inventory Prediction,7,PostgreSQL;FastAPI;TensorFlow,46,0.75
HIS0235,PRJ0092,Fraud Detection System,8,TensorFlow;PostgreSQL;Redis;FastAPI,49,0.96
HIS0236,PRJ0056,Healthcare Diagnosis AI,3,Redis;FastAPI;LangChain,39,0.92
HIS0237,PRJ0156,Customer Support Chatbot,8,TensorFlow;FastAPI;PostgreSQL,17,0.87
HIS0238,PRJ0039,Autonomous AI Research Agent,5,LangChain;Redis,16,0.78
HIS0239,PRJ0041,Autonomous AI Research Agent,4,LangChain;TensorFlow;Python;FastAPI,24,0.91
HIS0240,PRJ0070,Customer Support Chatbot,4,PostgreSQL;TensorFlow,50,0.95
HIS0241,PRJ0143,Smart Inventory Prediction,5,Python;LangChain;Redis,54,0.89
HIS0242,PRJ0149,Document Summarization AI,7,FastAPI;Redis;LangChain;PostgreSQL,30,0.94
HIS0243,PRJ0200,Smart Inventory Prediction,6,Redis;LangChain,57,0.78
HIS0244,PRJ0109,Healthcare Diagnosis AI,7,Redis;PostgreSQL;TensorFlow;LangChain,46,0.85
HIS0245,PRJ0118,Customer Support Chatbot,5,Python;Redis;PostgreSQL,35,0.77
HIS0246,PRJ0109,AI Sales Assistant,8,LangChain;FastAPI;Python,38,0.86
HIS0247,PRJ0127,Smart Inventory Prediction,7,FastAPI;LangChain;PostgreSQL,59,0.77
HIS0248,PRJ0086,Document Summarization AI,7,Redis;Python,60,0.76
HIS0249,PRJ0176,Healthcare Diagnosis AI,4,Redis;Python;FastAPI;TensorFlow,25,0.86
HIS0250,PRJ0125,AI Sales Assistant,3,FastAPI;Python;PostgreSQL,43,0.8
HIS0251,PRJ0195,Fraud Detection System,3,Python;FastAPI;LangChain,16,0.83
HIS0252,PRJ0095,Autonomous AI Research Agent,4,PostgreSQL;FastAPI;LangChain,49,0.83
HIS0253,PRJ0155,Fraud Detection System,8,FastAPI;PostgreSQL;TensorFlow,51,0.87
HIS0254,PRJ0151,Document Summarization AI,4,TensorFlow;Redis;LangChain;FastAPI,25,0.85
HIS0255,PRJ0191,Autonomous AI Research Agent,3,FastAPI;Redis;PostgreSQL,40,0.85
HIS0256,PRJ0076,Customer Support Chatbot,5,Redis;FastAPI;Python,57,0.81
HIS0257,PRJ0071,Customer Support Chatbot,3,FastAPI;PostgreSQL;TensorFlow;Redis,49,0.85
HIS0258,PRJ0001,Healthcare Diagnosis AI,3,FastAPI;Python;PostgreSQL,31,0.77
HIS0259,PRJ0168,Autonomous AI Research Agent,5,FastAPI;Redis;PostgreSQL;LangChain,28,0.75
HIS0260,PRJ0163,Customer Support Chatbot,4,Python;Redis;PostgreSQL,50,0.97
HIS0261,PRJ0029,Autonomous AI Research Agent,4,LangChain;TensorFlow;FastAPI;PostgreSQL,31,0.94
HIS0262,PRJ0096,Fraud Detection System,4,Python;PostgreSQL,32,0.92
HIS0263,PRJ0166,Autonomous AI Research Agent,4,FastAPI;TensorFlow,23,0.96
HIS0264,PRJ0105,AI Sales Assistant,8,TensorFlow;Redis;FastAPI,58,0.83
HIS0265,PRJ0111,Autonomous AI Research Agent,7,PostgreSQL;FastAPI;LangChain;Redis,25,0.94
HIS0266,PRJ0068,Fraud Detection System,3,TensorFlow;LangChain,38,0.9
HIS0267,PRJ0063,Document Summarization AI,6,TensorFlow;Python;LangChain;Redis,52,0.88
HIS0268,PRJ0051,Fraud Detection System,8,TensorFlow;FastAPI;Redis;PostgreSQL,32,0.89
HIS0269,PRJ0007,Smart Inventory Prediction,8,PostgreSQL;FastAPI;TensorFlow;Redis,46,0.77
HIS0270,PRJ0089,Smart Inventory Prediction,4,Redis;PostgreSQL;LangChain;TensorFlow,46,0.87
HIS0271,PRJ0128,AI Sales Assistant,7,FastAPI;LangChain,35,0.82
HIS0272,PRJ0137,Fraud Detection System,8,PostgreSQL;Python;Redis;TensorFlow,47,0.82
HIS0273,PRJ0160,Autonomous AI Research Agent,3,Python;PostgreSQL;TensorFlow,53,0.92
HIS0274,PRJ0088,Document Summarization AI,6,LangChain;TensorFlow;Redis,53,0.97
HIS0275,PRJ0033,AI Sales Assistant,3,Redis;PostgreSQL;FastAPI;LangChain,52,0.88
HIS0276,PRJ0067,Document Summarization AI,3,Python;Redis,23,0.85
HIS0277,PRJ0106,Document Summarization AI,7,LangChain;FastAPI;Python,45,0.77
HIS0278,PRJ0166,Fraud Detection System,8,TensorFlow;PostgreSQL;Redis,54,0.83
HIS0279,PRJ0184,Smart Inventory Prediction,8,Python;PostgreSQL,49,0.91
HIS0280,PRJ0110,AI Sales Assistant,8,LangChain;Python,20,0.92
HIS0281,PRJ0088,Document Summarization AI,4,Python;FastAPI;TensorFlow,50,0.8
HIS0282,PRJ0114,Document Summarization AI,8,TensorFlow;FastAPI,56,0.88
HIS0283,PRJ0179,Smart Inventory Prediction,6,FastAPI;LangChain,52,0.8
HIS0284,PRJ0127,Fraud Detection System,4,LangChain;FastAPI;Python,54,0.86
HIS0285,PRJ0101,Smart Inventory Prediction,4,TensorFlow;FastAPI;Redis,21,0.84
HIS0286,PRJ0069,Document Summarization AI,5,Python;Redis;LangChain,31,0.91
HIS0287,PRJ0186,Document Summarization AI,7,Python;FastAPI;TensorFlow,36,0.79
HIS0288,PRJ0177,Customer Support Chatbot,6,FastAPI;LangChain,35,0.97
